gene;ensembl_id;pval;pval_adj;logFC;direction
NEK2;ENSG00000117650;2,08275353013852e-26;8,26414677037595e-24;2,65312898700005;up
CENPF;ENSG00000117724;2,14670677239202e-26;8,42917831097054e-24;2,79849967014024;up
CBLC;ENSG00000142273;2,35927844143204e-26;9,16835060307017e-24;3,05211627312045;up
KIF11;ENSG00000138160;2,72579277862364e-26;1,04845672234917e-23;2,66900946482046;up
CAVIN2;ENSG00000168497;2,77372510020489e-26;1,05525598038675e-23;-4,17922770020116;down
GPIHBP1;ENSG00000277494;2,79945876213491e-26;1,05525598038675e-23;-3,76959879869446;down
CDC45;ENSG00000093009;2,8601306002244e-26;1,05668669796127e-23;2,80443703263393;up
KIF2C;ENSG00000142945;2,88735190051759e-26;1,05668669796127e-23;2,96685341269608;up
MCEMP1;ENSG00000183019;2,86918950387012e-26;1,05668669796127e-23;-4,7947088010896;down
HSD17B6;ENSG00000025423;3,08358058909521e-26;1,11764971448023e-23;-3,35205293232561;down
TFAP2A;ENSG00000137203;3,13417665837982e-26;1,12516942035835e-23;2,63037311799373;up
MKI67;ENSG00000148773;3,16607326262518e-26;1,12589746825147e-23;2,86591922756568;up
MS4A15;ENSG00000166961;3,29785440334781e-26;1,16180020312332e-23;-4,03842596382191;down
BUB1B;ENSG00000156970;3,41941141530975e-26;1,19346956759353e-23;2,61234326795508;up
TROAP;ENSG00000135451;3,45285665625555e-26;1,19408652896838e-23;2,5367766439295;up
AC116407.1;ENSG00000214708;3,62386325209969e-26;1,2418320480718e-23;-1,89700216951923;down
MYZAP;ENSG00000263155;3,72976064029541e-26;1,26660655257599e-23;-2,42746133293929;down
GAPDH;ENSG00000111640;3,79035760255992e-26;1,27569223061157e-23;2,40270457462044;up
CPB2;ENSG00000080618;4,03344269793243e-26;1,34549223450056e-23;-3,53940824591218;down
CDH5;ENSG00000179776;4,3877223898898e-26;1,4382190911904e-23;-3,00663493289285;down
ARHGAP11A;ENSG00000198826;4,36821435764315e-26;1,4382190911904e-23;1,99111768731738;up
ANGPTL1;ENSG00000116194;4,561355294448e-26;1,4822438605536e-23;-1,76469756139828;down
RGCC;ENSG00000102760;4,69383469006766e-26;1,51225725335129e-23;-3,436554986549;down
FGFR4;ENSG00000160867;4,88032331097215e-26;1,55901514582284e-23;-2,78877182034252;down
PHACTR1;ENSG00000112137;5,19173381556705e-26;1,64455803510756e-23;-1,90383122895529;down
CENPA;ENSG00000115163;5,37369492338425e-26;1,68801191780808e-23;2,57080359278642;up
CYP4B1;ENSG00000142973;5,54158354180318e-26;1,7263635670105e-23;-5,22956167061775;down
STARD8;ENSG00000130052;6,48909994489313e-26;2,00497231494055e-23;-2,0014065249929;down
PPP1R14A;ENSG00000167641;7,02284633171307e-26;2,15224546726768e-23;-2,36780708304154;down
